numero;familia;nombre;hexadecimal;rgb
44;PÚRPURA;DARKVIOLET;#9400D3;RGB(148, 0, 211)
13;ROSA;DEEPPINK;#FF1493;RGB(255, 20, 147)
90;AZUL;DEEPSKYBLUE;#00BFFF;RGB(0, 191, 255)
139;GRIS;DIMGRAY;#696969;RGB(105, 105, 105)
91;AZUL;DODGERBLUE;#1E90FF;RGB(30, 144, 255)
8;ROJA;FIREBRICK;#B22222;RGB(178, 34, 34)
128;BLANCO;FLORALWHITE;#FFFAF0;RGB(255, 250, 240)
63;VERDE;FORESTGREEN;#228B22;RGB(34, 139, 34)
38;PÚRPURA;FUCHSIA;#FF00FF;RGB(255, 0, 255)
134;GRIS;GAINSBORO;#DCDCDC;RGB(220, 220, 220)
123;BLANCO;GHOSTWHITE;#F8F8FF;RGB(248, 248, 255)
22;AMARILLA;GOLD;#FFD700;RGB(255, 215, 0)
109;MARRÓN;GOLDENROD;#DAA520;RGB(218, 165, 32)
138;GRIS;GRAY;#808080;RGB(128, 128, 128)
64;VERDE;GREEN;#008000;RGB(0, 128, 0)
52;VERDE;GREENYELLOW;#ADFF2F;RGB(173, 255, 47)
119;BLANCO;HONEYDEW;#F0FFF0;RGB(240, 255, 240)
12;ROSA;HOTPINK;#FF69B4;RGB(255, 105, 180)
1;ROJA;INDIANRED;#CD5C5C;RGB(205, 92, 92)
48;PÚRPURA;INDIGO;#4B0082;RGB(75, 0, 130)
129;BLANCO;IVORY;#FFFFF0;RGB(255, 255, 240)
31;AMARILLA;KHAKI;#F0E68C;RGB(240, 230, 140)
33;PÚRPURA;LAVENDER;#E6E6FA;RGB(230, 230, 250)
