Personas;Gastos;Ingresos;Categoria;G1_Alimentacion;G2_Bebidas;G8_Comunicaciones;G9_Recreacion;G10_Educacion;G11_Restaurantes
3;654432;750000;1.Bajo;133670.13000890534;29121.156325828626;75682.02762066237;112135.79269467012;8893.65526730976;42055.80071114661
1;1151128;2090000;2.Medio;38712.47658048757;768.3417199891251;21925.536677366978;216149.71740470422;1046.36939251271;165761.88435028656
4;2180457;1864791;2.Medio;376816.8181420258;18155.17200150221;31003.972936524056;49465.98823178559;1375.0;51635.79747017291
5;1192477;735052;1.Bajo;442021.99896240234;42780.0;83000.0;47900.0;1666.666666666667;30800.0
2;1206412;928000;2.Medio;19000.0;50200.0;20000.0;4978.0219780219795;558333.3333333337;32200.0
5;3546764;4954549;3.Alto;612049.6848609709;41857.0736237424;151735.24145053027;312370.0551014948;246433.33333333323;205627.77853525645
4;372410;264000;1.Bajo;97298.88954954181;3127.6509938868603;18142.63841714969;28889.67346807472;110000.0;34623.70534850827
4;1717695;2200000;2.Medio;307121.0773603439;37911.35539051082;99016.05110177833;80755.1864823421;183333.33333333372;309943.2248394622
7;1006840;450000;1.Bajo;433760.1419413641;6042.36880821733;3957.7703981310474;86836.26846839006;110833.33333333333;49753.74112177428
4;1111932;2189867;2.Medio;245014.0;58116.0;75000.0;42203.33325195313;2500.0;62822.6395939086
3;1205384;1290000;2.Medio;157025.19687958102;8390.80543975495;55980.0;86752.4114991684;30833.333333333372;33045.66152770662
2;2059906;2546145;2.Medio;471032.7613187663;28065.02203162014;17942.3635035072;35074.43622141018;22012.0772814188;79104.4883419218
3;1801517;1200000;2.Medio;207543.42652410705;295.962810164712;90050.85059571387;195925.1607937112;420833.3333333334;13136.093717312051
2;726036;2027292;2.Medio;88690.0;66899.4782608696;69650.0;56906.08695652172;166666.6666666667;53484.347826087
3;1395015;584802;1.Bajo;243447.13269042972;19426.6665039063;34133.3334960938;134517.97765379527;568422.0;29325.999755859353
5;907658;220000;1.Bajo;244163.17603570622;25327.83493605252;29090.689505623774;72566.4219800808;134166.66666666666;40785.3757116901
4;1070888;1690355;2.Medio;154113.27780196528;31852.076084336284;50285.05536685987;135364.95193987602;20916.666666666628;163177.00628536305
4;697720;660000;1.Bajo;133817.7713148644;56.297273672635406;82628.67266766296;54443.887744889515;833.3333333333339;46129.91385853426
6;881102;1535000;2.Medio;271173.42711059126;23862.201938387767;77743.27004753452;28357.517294848465;1666.6666666666679;39692.301029627815
3;950046;2057427;2.Medio;160142.6126644242;16683.36914702772;58269.57025065558;125802.53548127663;32500.0;50741.56114978883
2;351924;451688;1.Bajo;57537.684716674965;28.6128418676229;45079.94444450164;8235.494922670368;569.059321197851;107.34707217005199
4;2773260;6151050;3.Alto;385882.1875;23056.25;177912.6875;87159.49412899927;404166.666666666;142643.89030612243
5;831386;563625;1.Bajo;403488.0106943948;18858.81357493503;65436.360356813995;67821.24471168542;537.18083246665;2320.788215154371
2;629579;377727;1.Bajo;62780.0;6000.0;84626.1682242991;62642.99065420561;45600.0;4615.075376884421
5;4219909;10110000;3.Alto;392249.3685757878;329461.7912830081;72068.29573672336;159835.9159908783;546320.3807443233;563254.0778397581
2;1233399;1201900;2.Medio;337721.02950620686;29749.95812419187;57643.90582431861;12854.15145428761;2201.20772814188;105389.1299247541
3;1516217;1750519;2.Medio;206738.0;27200.0;53980.0;106001.97798128794;365666.666666667;18432.52747252747
4;3028884;3500758;3.Alto;481806.00000000006;10538.0;120000.0;425550.4205729167;812305.666666667;156580.0
2;1353008;3350000;3.Alto;458495.315832125;28844.08429573815;87920.37660710236;230497.8583268593;11006.0386407094;109042.35213458481
2;2276273;3266723;3.Alto;172263.99972534186;31039.99951171875;115000.0;297122.7289003315;458534.9999999997;275238.3838383833
